common name,conservation status,kingdom,phylum,klass,order,family,genus,species,subspecies,official name,wiki filename,old filename,new filename,countries,colours,activities,endemic,wiki
Fox sparrow,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerella,Passerella iliaca,,Passerella iliaca,passerella_iliaca.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Passerella_iliaca-001.jpg/220px-Passerella_iliaca-001.jpg,images/passerella_iliaca,,,,false,Fox_Sparrow
Franklin's gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,Leucophaeus pipixcan,,Leucophaeus pipixcan,leucophaeus_pipixcan.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Franklin%27s_Gull_Brisbane98.jpg/220px-Franklin%27s_Gull_Brisbane98.jpg,images/leucophaeus_pipixcan,japan,,,false,Franklin%27s_Gull
Fraser's dolphin,Least Concern,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenodelphis,Lagenodelphis hosei,,Lagenodelphis hosei,lagenodelphis_hosei.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Frazer%C2%B4s_dolphin_group.jpg/220px-Frazer%C2%B4s_dolphin_group.jpg,images/lagenodelphis_hosei,south africa,,,false,Fraser%27s_Dolphin
Fraternal myotis,Data Deficient,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis frater,,Myotis frater,myotis_frater.html,,images/myotis_frater,japan,,,false,Fraternal_Myotis
Frigatebird,,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Male_Frigate_bird.jpg/220px-Male_Frigate_bird.jpg,images/,,,,false,Fregatidae
Frosted myotis,Endangered,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis pruinosus,,Myotis pruinosus,myotis_pruinosus.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Myotis_pruinosus_distribution.png/220px-Myotis_pruinosus_distribution.png,images/myotis_pruinosus,japan,,,false,Frosted_Myotis
Fulmar,,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Fulmarus_glacialis_on_cliff.jpg/220px-Fulmarus_glacialis_on_cliff.jpg,images/,,,nocturnal,false,Fulmar
Gadwall,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas strepera,,Anas strepera,anas_strepera.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Gadwall-Anas-strepera.jpg/220px-Gadwall-Anas-strepera.jpg,images/anas_strepera,cameroon|western sahara,,,false,Gadwall
Garganey,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas querquedula,,Anas querquedula,anas_querquedula.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Garganey_%28Anas_querquedula%29_RWD3.jpg/220px-Garganey_%28Anas_querquedula%29_RWD3.jpg,images/anas_querquedula,cameroon|western sahara,,,false,Garganey
Loon,,,,,,,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/PacificLoon24.jpg/300px-PacificLoon24.jpg,images/,,,,false,Gaviidae
