common name,conservation status,kingdom,phylum,klass,order,family,genus,species,subspecies,official name,wiki filename,old filename,new filename,countries,colours,activities,endemic,wiki
Accipitridae,,,,,,,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Spizaetus-ornatus-001.jpg/220px-Spizaetus-ornatus-001.jpg,images/,guinea|egypt|madagascar,,diurnal,false,Accipitridae
River kingfishers,,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Alcedo_atthis_2_%28Marek_Szczepanek%29.jpg/220px-Alcedo_atthis_2_%28Marek_Szczepanek%29.jpg,images/,madagascar,,,false,Alcedinidae
Auk,,,,,,,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Parakeetauklets2.jpg/250px-Parakeetauklets2.jpg,images/,,,,false,Alcidae
Aleutian tern,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Onychoprion,Onychoprion aleuticus,,Onychoprion aleuticus,onychoprion_aleuticus.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Aleutian_Tern.jpg/220px-Aleutian_Tern.jpg,images/onychoprion_aleuticus,,,,false,Aleutian_Tern
Alpine accentor,Least Concern,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella collaris,,Prunella collaris,prunella_collaris.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Alpine_accentor_saganta.jpg/250px-Alpine_accentor_saganta.jpg,images/prunella_collaris,,,,false,Alpine_Accentor
Amami rabbit,Endangered,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Pentalagus,Pentalagus furnessi,,Pentalagus furnessi,pentalagus_furnessi.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Amami_rabbit_Stuffed_specimen.jpg/250px-Amami_rabbit_Stuffed_specimen.jpg,images/pentalagus_furnessi,japan,,nocturnal,false,Amami_Rabbit
Ryukyu shrew,Endangered,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Crocidura orii,,Crocidura orii,crocidura_orii.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ryukyu_Shrew_area.png/220px-Ryukyu_Shrew_area.png,images/crocidura_orii,kenya|cameroon|congo|japan,,,true,Amami_Shrew
Amami thrush,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Zoothera,Zoothera dauma,,Zoothera dauma major,zoothera_dauma_major.html,,images/zoothera_dauma_major,japan,,,true,Amami_Thrush
Amami woodcock,Vulnerable,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,Scolopax mira,,Scolopax mira,scolopax_mira.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Amami_Woodcock_Stuffed_specimen.jpg/220px-Amami_Woodcock_Stuffed_specimen.jpg,images/scolopax_mira,japan,,,true,Amami_Woodcock
American golden plover,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,Pluvialis dominica,pluvialis_dominica.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pluvialis_dominica1.jpg/220px-Pluvialis_dominica1.jpg,images/pluvialis_dominica,,,,false,American_Golden_Plover
American wigeon,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas americana,,Anas americana,anas_americana.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Anas_americana_-_drake.jpg/220px-Anas_americana_-_drake.jpg,images/anas_americana,,,,false,American_Wigeon
Amur falcon,Least Concern,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco amurensis,,Falco amurensis,falco_amurensis.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Falco_amurensis_1868.jpg/220px-Falco_amurensis_1868.jpg,images/falco_amurensis,ethiopia|lesotho,,,false,Amur_Falcon
Anatidae,,,,,,,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Whistling_duck_flight02_-_natures_pics-edit1.jpg/220px-Whistling_duck_flight02_-_natures_pics-edit1.jpg,images/,namibia|madagascar|japan,,,true,Anatidae
Ancient murrelet,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,Synthliboramphus antiquus,,Synthliboramphus antiquus,synthliboramphus_antiquus.html,//upload.wikimedia.org/wikipedia/commons/f/f0/Ancient_Murrelet.png,images/synthliboramphus_antiquus,,,,false,Ancient_Murrelet
Swift,,Animalia,Chordata,Aves,Apodiformes,Apodidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Apus_apus_01.jpg/220px-Apus_apus_01.jpg,images/,seychelles,,,false,Apodidae
Arctic redpoll,,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis hornemanni,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Arctic_Redpoll_%28Acanthis_hornemanni%29_%2813667519855%29.jpg/220px-Arctic_Redpoll_%28Acanthis_hornemanni%29_%2813667519855%29.jpg,images/,,,,false,Arctic_Redpoll
Parasitic jaeger,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius parasiticus,,Stercorarius parasiticus,stercorarius_parasiticus.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Parasitic_Jaeger.jpg/220px-Parasitic_Jaeger.jpg,images/stercorarius_parasiticus,cameroon|western sahara,,,false,Arctic_Skua
Arctic tern,Least Concern,Animalia,Chordata,Aves,,Sternidae,Sterna,Sterna paradisaea,,Sterna paradisaea,sterna_paradisaea.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Arctic_terns.jpg/220px-Arctic_terns.jpg,images/sterna_paradisaea,cameroon|south africa|western sahara,,,false,Arctic_Tern
Arctic warbler,Least Concern,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus borealis,,Phylloscopus borealis,phylloscopus_borealis.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Arctic_Warbler_4683b.jpg/220px-Arctic_Warbler_4683b.jpg,images/phylloscopus_borealis,japan,,,false,Arctic_Warbler
Heron,,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,,,,,.html,//upload.wikimedia.org/wikipedia/en/thumb/6/67/GBHfish5.jpg/270px-GBHfish5.jpg,images/,kenya|egypt,,diurnal|nocturnal,true,Ardeidae
Ashy minivet,Least Concern,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Pericrocotus,Pericrocotus divaricatus,,Pericrocotus divaricatus,pericrocotus_divaricatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Ashy_Minivet_by_Jason_Thompson_%28Cropped%29.jpg/220px-Ashy_Minivet_by_Jason_Thompson_%28Cropped%29.jpg,images/pericrocotus_divaricatus,japan,,,false,Ashy_Minivet
Asian dowitcher,Near Threatened,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,Limnodromus semipalmatus,,Limnodromus semipalmatus,limnodromus_semipalmatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/95/Asian_Dowitcher_6436.jpg/220px-Asian_Dowitcher_6436.jpg,images/limnodromus_semipalmatus,,,,false,Asian_Dowitcher
Surniculus,,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Surniculus,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Asian_Drongo_Cuckoo.jpg/220px-Asian_Drongo_Cuckoo.jpg,images/,,,,false,Asian_Drongo-Cuckoo
Asian house shrew,Least Concern,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Suncus,Suncus murinus,,Suncus murinus,suncus_murinus.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Suncus_murinus.jpg/220px-Suncus_murinus.jpg,images/suncus_murinus,tanzania|rwanda|kenya|sudan|cameroon|congo|ethiopia|guinea|egypt|comoros|madagascar|eritrea|japan,,nocturnal,false,Asian_House_Shrew
Marsh harrier,,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Rohrweihe.jpg/200px-Rohrweihe.jpg,images/,guinea|comoros|madagascar|japan,,,false,Asian_Marsh_Harrier
Asian particolored bat,Least Concern,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Vespertilio,Vespertilio sinensis,,Vespertilio sinensis,vespertilio_sinensis.html,,images/vespertilio_sinensis,japan,,,false,Asian_Parti-colored_Bat
Asian rosy finch,Least Concern,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,Leucosticte arctoa,,Leucosticte arctoa,leucosticte_arctoa.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Leucosticte_arctoa.jpg/220px-Leucosticte_arctoa.jpg,images/leucosticte_arctoa,japan,,,false,Asian_Rosy_Finch
Asian stubtail,Least Concern,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Urosphena,Urosphena squameiceps,,Urosphena squameiceps,urosphena_squameiceps.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Urosphena_squameiceps.jpg/220px-Urosphena_squameiceps.jpg,images/urosphena_squameiceps,japan,,,false,Asian_Stubtail
Audubon's shearwater,Least Concern,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus lherminieri,,Puffinus lherminieri,puffinus_lherminieri.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/P%C3%A9trel_de_Barau_.jpg/250px-P%C3%A9trel_de_Barau_.jpg,images/puffinus_lherminieri,kenya|south africa|comoros|madagascar|cape verde,,,false,Audubon%27s_Shearwater
Eastern grass owl,Least Concern,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Tyto longimembris,,Tyto longimembris,tyto_longimembris.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/TytoCapensisGould.jpg/220px-TytoCapensisGould.jpg,images/tyto_longimembris,guinea|japan,,,false,Australasian_Grass_Owl
Azumi shrew,Least Concern,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex hosonoi,,Sorex hosonoi,sorex_hosonoi.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Azumi_Shrew_area.png/220px-Azumi_Shrew_area.png,images/sorex_hosonoi,kenya|cameroon|congo|japan,,,true,Azumi_Shrew
Azure-winged magpie,Least Concern,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanopica,Cyanopica cyanus,,Cyanopica cyanus,cyanopica_cyanus.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/30/2011_Blauelster_in_Shanghai.jpg/220px-2011_Blauelster_in_Shanghai.jpg,images/cyanopica_cyanus,japan,,,false,Azure-winged_Magpie
Azure tit,Least Concern,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes cyanus,,Cyanistes cyanus,cyanistes_cyanus.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Azure_tit_by_Vincent_van_der_Spek.jpg/220px-Azure_tit_by_Vincent_van_der_Spek.jpg,images/cyanistes_cyanus,,,,false,Azure_Tit
Baer's pochard,Critically Endangered,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya baeri,,Aythya baeri,aythya_baeri.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Baer%27s_Pochard_RWD4.jpg/240px-Baer%27s_Pochard_RWD4.jpg,images/aythya_baeri,japan,,,false,Baer%27s_Pochard
Baikal teal,Least Concern,,,,,,,A. formosa,,Anas formosa,anas_formosa.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Anas.formosa.4.jpg/220px-Anas.formosa.4.jpg,images/anas_formosa,japan,,,false,Baikal_Teal
Baillon's crake,Least Concern,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana pusilla,,Porzana pusilla,porzana_pusilla.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Baillon%27s_Crake_-_Beeliar.jpg/220px-Baillon%27s_Crake_-_Beeliar.jpg,images/porzana_pusilla,cameroon|south africa,,,false,Baillon%27s_Crake
Baird's sandpiper,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris bairdii,,Calidris bairdii,calidris_bairdii.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Calidris_bairdii_-Gullbringusysla%2C_Iceland-8.jpg/220px-Calidris_bairdii_-Gullbringusysla%2C_Iceland-8.jpg,images/calidris_bairdii,south africa,,,false,Baird%27s_Sandpiper
Band-rumped storm petrel,Least Concern,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma castro,,Oceanodroma castro,oceanodroma_castro.html,,images/oceanodroma_castro,,,nocturnal,false,Band-rumped_Storm_Petrel
Bar-headed goose,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser indicus,,Anser indicus,anser_indicus.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Bar-headed_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg/220px-Bar-headed_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg,images/anser_indicus,,,,false,Bar-headed_Goose
Bar-tailed godwit,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa lapponica,,Limosa lapponica,limosa_lapponica.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bar-tailed_Godwit.jpg/220px-Bar-tailed_Godwit.jpg,images/limosa_lapponica,cameroon|south africa|western sahara,,,false,Bar-tailed_Godwit
Barn swallow,Least Concern,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,,Hirundo rustica,hirundo_rustica.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/24/Landsvale.jpg/300px-Landsvale.jpg,images/hirundo_rustica,angola|cameroon|congo|ethiopia|nigeria|south africa|guinea|gambia|senegal|tunisia|western sahara|japan,,diurnal,false,Barn_Swallow
Bean goose,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Bean.goose.600pix.jpg/220px-Bean.goose.600pix.jpg,images/,japan,,,false,Bean_Goose
Bearded reedling,Least Concern,Animalia,Chordata,Aves,Passeriformes,Panuridae,Panurus,Panurus biarmicus,,Panurus biarmicus,panurus_biarmicus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Panurus_biarmicus_-Oare_Marshes%2C_Kent%2C_England_-male-8_%283%29.jpg/220px-Panurus_biarmicus_-Oare_Marshes%2C_Kent%2C_England_-male-8_%283%29.jpg,images/panurus_biarmicus,,,,false,Bearded_Reedling
Bearded seal,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Erignathus,Erignathus barbatus,,Erignathus barbatus,erignathus_barbatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Bearded_Seal.jpg/220px-Bearded_Seal.jpg,images/erignathus_barbatus,,,,false,Bearded_Seal
Beluga whale,Near Threatened,,,,,,,,,Delphinapterus leucas,delphinapterus_leucas.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Beluga03.jpg/220px-Beluga03.jpg,images/delphinapterus_leucas,japan,,,false,Beluga_(whale)
Eastern long-fingered bat,Least Concern,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis macrodactylus,,Myotis macrodactylus,myotis_macrodactylus.html,,images/myotis_macrodactylus,japan,,,false,Big-Footed_Myotis
Bimaculated lark,Least Concern,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Melanocorypha,Melanocorypha bimaculata,,Melanocorypha bimaculata,melanocorypha_bimaculata.html,,images/melanocorypha_bimaculata,,,,false,Bimaculated_Lark
Birdlike noctule,Near Threatened,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus aviator,,Nyctalus aviator,nyctalus_aviator.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Nyctalus_aviator_distribution_map.png/220px-Nyctalus_aviator_distribution_map.png,images/nyctalus_aviator,japan,,,false,Birdlike_Noctule
Black-capped kingfisher,Least Concern,Animalia,Chordata,Aves,Coraciiformes,Halcyonidae,Halcyon,Halcyon pileata,,Halcyon pileata,halcyon_pileata.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Halcyon_pileata_-_Phra_Non.jpg/220px-Halcyon_pileata_-_Phra_Non.jpg,images/halcyon_pileata,,,,false,Black-capped_Kingfisher
Black-crowned night heron,Least Concern,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax,,Nycticorax nycticorax,nycticorax_nycticorax.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Black-crowned_Night_Heron_RWD7.jpg/220px-Black-crowned_Night_Heron_RWD7.jpg,images/nycticorax_nycticorax,cameroon|south africa|western sahara,,nocturnal,false,Black-crowned_Night_Heron
Black-faced bunting,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza spodocephala,,Emberiza spodocephala,emberiza_spodocephala.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Aoji_male.JPG/240px-Aoji_male.JPG,images/emberiza_spodocephala,japan,,,false,Black-faced_Bunting
Black-faced spoonbill,Endangered,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,Platalea minor,,Platalea minor,platalea_minor.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Black_faced_spoonbill_at_Niigata.JPG/250px-Black_faced_spoonbill_at_Niigata.JPG,images/platalea_minor,japan,,,false,Black-faced_Spoonbill
Black-footed albatross,Near Threatened,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria nigripes,,Phoebastria nigripes,phoebastria_nigripes.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Black_footed_albatross1.jpg/250px-Black_footed_albatross1.jpg,images/phoebastria_nigripes,niger|japan,,,false,Black-footed_Albatross
Black-headed bunting,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza melanocephala,,Emberiza melanocephala,emberiza_melanocephala.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/28-090504-black-headed-bunting-at-first-layby.jpg/220px-28-090504-black-headed-bunting-at-first-layby.jpg,images/emberiza_melanocephala,japan,,,false,Black-headed_Bunting
Black-headed gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,,Chroicocephalus ridibundus,chroicocephalus_ridibundus.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Chroicocephalus_ridibundus_%28summer%29.jpg/250px-Chroicocephalus_ridibundus_%28summer%29.jpg,images/chroicocephalus_ridibundus,cameroon|western sahara,,,false,Black-headed_Gull
Black-headed ibis,Near Threatened,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis melanocephalus,,Threskiornis melanocephalus,threskiornis_melanocephalus.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Black-headed_Ibis_%28Threskiornis_melanocephalus%29_in_Tirunelveli.jpg/220px-Black-headed_Ibis_%28Threskiornis_melanocephalus%29_in_Tirunelveli.jpg,images/threskiornis_melanocephalus,japan,,,false,Black-headed_Ibis
Black-legged kittiwake,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridactyla,,Rissa tridactyla,rissa_tridactyla.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Rissa_tridactyla_%28Vard%C3%B8%2C_2012%29.jpg/220px-Rissa_tridactyla_%28Vard%C3%B8%2C_2012%29.jpg,images/rissa_tridactyla,western sahara,,,false,Black-legged_Kittiwake
Black-naped oriole,Least Concern,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis,,Oriolus chinensis,oriolus_chinensis.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Black-naped_Oriole_eyeing_on_Lannea_coromandelica_fruits_W_IMG_7449.jpg/220px-Black-naped_Oriole_eyeing_on_Lannea_coromandelica_fruits_W_IMG_7449.jpg,images/oriolus_chinensis,,,,false,Black-naped_Oriole
Black-naped tern,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Sterna,Sterna sumatrana,,Sterna sumatrana,sterna_sumatrana.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Black-naped_Tern_LEI.JPG/220px-Black-naped_Tern_LEI.JPG,images/sterna_sumatrana,south africa,,,false,Black-naped_Tern
Black-necked grebe,Least Concern,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps nigricollis,,Podiceps nigricollis,podiceps_nigricollis.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Black-necked_Grebe_Schwarzhalstaucher.jpg/220px-Black-necked_Grebe_Schwarzhalstaucher.jpg,images/podiceps_nigricollis,niger|madagascar,,,false,Black-necked_Grebe
Black-tailed gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus crassirostris,,Larus crassirostris,larus_crassirostris.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Laridae_in_Beijing_Zoo.JPG/250px-Laridae_in_Beijing_Zoo.JPG,images/larus_crassirostris,japan,,,false,Black-tailed_Gull
Black-throated loon,Least Concern,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia arctica,,Gavia arctica,gavia_arctica.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/87/Plongeon_arctique_nid.jpg/240px-Plongeon_arctique_nid.jpg,images/gavia_arctica,,,,false,Black-throated_Diver
Black-throated thrush,Least Concern,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus atrogularis,,Turdus atrogularis,turdus_atrogularis.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Turdusatro.jpg/250px-Turdusatro.jpg,images/turdus_atrogularis,japan,,,false,Black-throated_Thrush
Black-winged petrel,Least Concern,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma nigripennis,,Pterodroma nigripennis,pterodroma_nigripennis.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/BWP_3_-_Christopher_Watson.jpg/220px-BWP_3_-_Christopher_Watson.jpg,images/pterodroma_nigripennis,,,,false,Black-winged_Petrel
Black-winged stilt,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus himantopus,,Himantopus himantopus,himantopus_himantopus.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Himantopus_himantopus_-_Pak_Thale.jpg/220px-Himantopus_himantopus_-_Pak_Thale.jpg,images/himantopus_himantopus,cameroon|guinea|western sahara|madagascar,,,false,Black-winged_Stilt
Black bittern,Least Concern,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus flavicollis,,Ixobrychus flavicollis,ixobrychus_flavicollis.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Black_Bittern.jpg/220px-Black_Bittern.jpg,images/ixobrychus_flavicollis,japan,,,false,Black_Bittern
Black drongo,Least Concern,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Dicrurus,Dicrurus macrocercus,,Dicrurus macrocercus,dicrurus_macrocercus.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Black_Drongo_%28Dicrurus_macrocercus%29_IMG_7702_%281%29..JPG/220px-Black_Drongo_%28Dicrurus_macrocercus%29_IMG_7702_%281%29..JPG,images/dicrurus_macrocercus,japan,,,true,Black_Drongo
Black kite,Least Concern,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Milvus,Milvus migrans,,Milvus migrans,milvus_migrans.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/2007-black-kite.jpg/220px-2007-black-kite.jpg,images/milvus_migrans,kenya|congo|guinea|cape verde|japan,,diurnal,false,Black_Kite
Black redstart,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus ochruros,,Phoenicurus ochruros,phoenicurus_ochruros.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg/250px-Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,images/phoenicurus_ochruros,morocco,,,false,Black_Redstart
Black stork,Least Concern,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia nigra,,Ciconia nigra,ciconia_nigra.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ciconia_nigra_-Kruger_National_Park-8.jpg/220px-Ciconia_nigra_-Kruger_National_Park-8.jpg,images/ciconia_nigra,tanzania|rwanda|burundi|uganda|kenya|cameroon|nigeria|south africa|tunisia|mali|western sahara,,,false,Black_Stork
Black tern,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Chlidonias,Chlidonias niger,,Chlidonias niger,chlidonias_niger.html,//upload.wikimedia.org/wikipedia/commons/d/d4/Chlidonias_niger.jpg,images/chlidonias_niger,cameroon|south africa|niger|western sahara,,,false,Black_Tern
Black woodpecker,Least Concern,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,Dryocopus martius,,Dryocopus martius,dryocopus_martius.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/BlackWoods.jpg/250px-BlackWoods.jpg,images/dryocopus_martius,japan,,,false,Black_Woodpecker
Blainville's beaked whale,Data Deficient,,,,,,,,,Mesoplodon densirostris,mesoplodon_densirostris.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Beaked_Whale.jpg/220px-Beaked_Whale.jpg,images/mesoplodon_densirostris,south africa|western sahara|seychelles|japan,,,false,Blainville%27s_Beaked_Whale
Blakiston's fish owl,Endangered,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo blakistoni,,Bubo blakistoni,bubo_blakistoni.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Blakiston%60s_fish_owl1.jpg/220px-Blakiston%60s_fish_owl1.jpg,images/bubo_blakistoni,japan,,,false,Blakiston%27s_Fish_Owl
Blue-and-white flycatcher,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Cyanoptila,Cyanoptila cyanomelana,,Cyanoptila cyanomelana,cyanoptila_cyanomelana.html,,images/cyanoptila_cyanomelana,japan,,,false,Blue-and-white_Flycatcher
Masked booby,Least Concern,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,Sula dactylatra,,Sula dactylatra,sula_dactylatra.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Masked_booby_with_chick.JPG/220px-Masked_booby_with_chick.JPG,images/sula_dactylatra,kenya,,,false,Blue-faced_Booby
Blue-tailed bee-eater,Least Concern,Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops philippinus,,Merops philippinus,merops_philippinus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/95/Blue_tailed_bee_eater1.jpg/240px-Blue_tailed_bee_eater1.jpg,images/merops_philippinus,,,,false,Blue-tailed_Bee-eater
Blue noddy,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Procelsterna,Procelsterna cerulea,,Procelsterna cerulea,procelsterna_cerulea.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Blue-grey_Noddy.jpg/250px-Blue-grey_Noddy.jpg,images/procelsterna_cerulea,japan,,,false,Blue_Noddy
